0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
0.04	0.04	0.005
